snapshot_date,project_id,dataset_name,table_name,table_type,storage_last_modified_time,total_logical_tb,project_logical_tb,percentage_of_project_logical_tb,billing_model,last_queried,storage_last_modified_date,cost_per_month,
03/11/2025,bt-con-digital-dp-prep-ops,audit_log_sink_proc,operations_20231217,BASE TABLE,2023-12-17 09:01:21.139000 UTC, 0.00000000889395 , 0.00367398529670 , 0.00024207904960 ,LOGICAL,20/10/2025,17/12/2023, $0.00 ,
03/11/2025,bt-con-digital-dp-prep-ops,audit_log_sink_proc,operations_20231218,BASE TABLE,2023-12-18 09:01:22.248000 UTC, 0.00000000889213 , 0.00367398529670 , 0.00024202953962 ,LOGICAL,20/10/2025,18/12/2023, $0.00 ,
03/11/2025,bt-con-digital-dp-dev-ops,audit_log_sink_proc,operations_20240430,BASE TABLE,2024-04-30 17:17:08.271000 UTC, 0.00000000886212 , 0.00092930560550 , 0.00095362777558 ,LOGICAL,20/10/2025,30/04/2024, $0.00 ,
03/11/2025,bt-con-digital-dp-dev-ops,audit_log_sink_data,cloudaudit_googleapis_com_activity_20250302,BASE TABLE,2025-03-02 11:43:00.351000 UTC, 0.00000000886121 , 0.00092930560550 , 0.00095352990738 ,LOGICAL,20/10/2025,02/03/2025, $0.00 ,
03/11/2025,bt-con-digital-dp-prep-ops,audit_log_sink_proc,operations_20231219,BASE TABLE,2023-12-19 08:05:33.086000 UTC, 0.00000000885939 , 0.00367398529670 , 0.00024113835997 ,LOGICAL,20/10/2025,19/12/2023, $0.00 ,
03/11/2025,bt-con-digital-dp-prep-ops,audit_log_sink_proc,operations_20240208,BASE TABLE,2024-02-08 11:17:12.441000 UTC, 0.00000000884029 , 0.00367398529670 , 0.00024061850517 ,LOGICAL,20/10/2025,08/02/2024, $0.00 ,
03/11/2025,bt-con-digital-dp-prep-ops,audit_log_sink_proc,operations_20240207,BASE TABLE,2024-02-07 16:41:27.399000 UTC, 0.00000000883665 , 0.00367398529670 , 0.00024051948521 ,LOGICAL,20/10/2025,07/02/2024, $0.00 ,
03/11/2025,bt-con-digital-dp-prep-ops,audit_log_sink_proc,operations_20240217,BASE TABLE,2024-02-17 04:01:15.555000 UTC, 0.00000000883483 , 0.00367398529670 , 0.00024046997523 ,LOGICAL,20/10/2025,17/02/2024, $0.00 ,
03/11/2025,bt-con-digital-dp-prep-ops,audit_log_sink_proc,operations_20240219,BASE TABLE,2024-02-19 04:01:17.572000 UTC, 0.00000000883483 , 0.00367398529670 , 0.00024046997523 ,LOGICAL,20/10/2025,19/02/2024, $0.00 ,
03/11/2025,bt-con-digital-dp-prep-ops,audit_log_sink_proc,operations_20240220,BASE TABLE,2024-02-20 04:01:18.975000 UTC, 0.00000000883483 , 0.00367398529670 , 0.00024046997523 ,LOGICAL,20/10/2025,20/02/2024, $0.00 ,
03/11/2025,bt-con-digital-dp-prep-ops,audit_log_sink_proc,operations_20240222,BASE TABLE,2024-02-22 04:01:16.101000 UTC, 0.00000000883483 , 0.00367398529670 , 0.00024046997523 ,LOGICAL,20/10/2025,22/02/2024, $0.00 ,
