snapshot_date,project_id,dataset_name,table_name,table_type,storage_last_modified_time,total_logical_tb,project_logical_tb,percentage_of_project_logical_tb,billing_model,last_queried,storage_last_modified_date,cost_per_month
03/11/2025,bt-con-market-dev-data,cons_ccn_market_marketing_campaign_bb_uso_tkn_rw,bt_con_bbuso_data,BASE TABLE,2025-05-05 10:46:15.144000 UTC, 0.0000128121218950 , 0.00278397035 , 0.460210428573641000 ,LOGICAL,< 2025-09-03,05/05/2025, $0.00 
03/11/2025,bt-con-digital-dp-test-ops,audit_log_sink_data,cloudaudit_googleapis_com_data_access_20240424,BASE TABLE,2024-04-24 16:49:49.809000 UTC, 0.0000118843227028 , 0.00007940587 , 14.966555287374900000 ,LOGICAL,< 2025-09-03,24/04/2024, $0.00 
03/11/2025,bt-con-market-dev-data,cons_ccn_market_marketing_campaign_bb_uso_rw,bt_con_bbuso_data,BASE TABLE,2023-10-24 09:04:18.887000 UTC, 0.0000111602312245 , 0.00278397035 , 0.400874643319061000 ,LOGICAL,< 2025-09-03,24/10/2023, $0.00 
03/11/2025,bt-con-market-dev-data,cons_ccn_market_marketing_campaigns_tkn_rw,unica_con_conv_campaign_history_copy,BASE TABLE,2024-11-26 10:53:53.589000 UTC, 0.0000064414498411 , 0.00278397035 , 0.231376380610467000 ,LOGICAL,< 2025-09-03,26/11/2024, $0.00 
03/11/2025,bt-con-market-test-data,cons_ccn_market_sales_channel_rw,ee_paym_dealer_groups,BASE TABLE,2024-11-12 13:17:04.548000 UTC, 0.0000060040310927 , 0.00000939644 , 63.896864500552400000 ,LOGICAL,< 2025-09-03,12/11/2024, $0.00 
03/11/2025,bt-con-market-dev-data,cons_ccn_market_sales_channel_tkn_rw,ee_paym_dealer_groups,BASE TABLE,2023-06-12 09:38:29.802000 UTC, 0.0000037151576180 , 0.00278397035 , 0.133448174596681000 ,LOGICAL,< 2025-09-03,12/06/2023, $0.00 
03/11/2025,bt-con-market-dev-data,cons_ccn_market_sales_channel_tkn_stg,w_ee_paym_dealer_groups,BASE TABLE,2023-06-12 09:38:11.219000 UTC, 0.0000037151576180 , 0.00278397035 , 0.133448174596681000 ,LOGICAL,< 2025-09-03,12/06/2023, $0.00 
03/11/2025,bt-con-market-dev-data,cons_ccn_market_sales_channel_stg,w_ee_paym_dealer_groups,BASE TABLE,2024-06-17 15:18:05.132000 UTC, 0.0000034060813050 , 0.00278397035 , 0.122346177314103000 ,LOGICAL,< 2025-09-03,17/06/2024, $0.00 
03/11/2025,bt-con-market-test-data,cons_ccn_market_sales_channel_stg,w_ee_paym_dealer_groups,BASE TABLE,2023-09-07 09:42:53.719000 UTC, 0.0000033869346225 , 0.00000939644 , 36.044867074429400000 ,LOGICAL,< 2025-09-03,07/09/2023, $0.00 
03/11/2025,bt-con-digital-dp-test-ops,audit_log_sink_proc,cloudaudit_googleapis_com_data_access_20240626,BASE TABLE,2024-06-26 17:04:58.912000 UTC, 0.0000031660929380 , 0.00007940587 , 3.987228063989610000 ,LOGICAL,< 2025-09-03,26/06/2024, $0.00 
03/11/2025,bt-con-digital-dp-test-ops,audit_log_sink_proc,cloudaudit_googleapis_com_data_access_20240625,BASE TABLE,2024-06-26 00:04:35.163000 UTC, 0.0000022774420358 , 0.00007940587 , 2.868103045972860000 ,LOGICAL,< 2025-09-03,26/06/2024, $0.00 
03/11/2025,bt-con-digital-dp-test-data,digital_touchpoints_rw,dp_014_digital_orders,BASE TABLE,2024-06-26 12:17:47.796000 UTC, 0.0000016472440620 , 0.00000344721 , 47.784828912295700000 ,LOGICAL,< 2025-09-03,26/06/2024, $0.00 
03/11/2025,bt-con-digital-dp-test-data,digital_touchpoints_stg,dp_014_digital_orders_delta_records,BASE TABLE,2024-06-26 12:17:33.937000 UTC, 0.0000016472440620 , 0.00000344721 , 47.784828912295700000 ,LOGICAL,< 2025-09-03,26/06/2024, $0.00 
03/11/2025,bt-con-digital-dp-test-ops,audit_log_sink_data,cloudaudit_googleapis_com_activity_20231207,BASE TABLE,2023-12-07 16:20:42.586000 UTC, 0.0000015956011339 , 0.00007940587 , 2.009424784571050000 ,LOGICAL,< 2025-09-03,07/12/2023, $0.00 
03/11/2025,bt-con-digital-dp-test-ops,audit_log_sink_data,cloudaudit_googleapis_com_data_access_20240425,BASE TABLE,2024-04-25 14:56:43.475000 UTC, 0.0000014662500689 , 0.00007940587 , 1.846526156372600000 ,LOGICAL,< 2025-09-03,25/04/2024, $0.00 
03/11/2025,bt-con-market-dev-data,cons_ccn_market_marketing_campaigns_stg,parquet_testing_table,BASE TABLE,2022-06-21 10:01:39.205000 UTC, 0.0000011983192962 , 0.00278397035 , 0.043043536535937000 ,LOGICAL,< 2025-09-03,21/06/2022, $0.00 
03/11/2025,bt-con-market-dev-data,cons_ccn_market_marketing_campaigns_stg,temp_parquet_table,BASE TABLE,2022-06-29 05:09:11.307000 UTC, 0.0000011983192962 , 0.00278397035 , 0.043043536535937000 ,LOGICAL,< 2025-09-03,29/06/2022, $0.00 
03/11/2025,bt-con-market-dev-data,cons_ccn_market_marketing_campaigns_stg,w_parquet_test,BASE TABLE,2022-06-30 06:21:31.021000 UTC, 0.0000011983192962 , 0.00278397035 , 0.043043536535937000 ,LOGICAL,< 2025-09-03,30/06/2022, $0.00 
03/11/2025,bt-con-ga360-an-ext-dev-data,customer_experience_rw,inhouse_survey_app_responses,BASE TABLE,2025-03-03 21:51:51.676000 UTC, 0.0000011743259165 , 0.00000123434 , 95.138254908938900000 ,LOGICAL,< 2025-09-03,03/03/2025, $0.00 
03/11/2025,bt-con-digital-dp-test-ops,audit_log_sink_proc,cloudaudit_googleapis_com_data_access_20240624,BASE TABLE,2024-06-25 00:31:16.523000 UTC, 0.0000011609554349 , 0.00007940587 , 1.462052498662430000 ,LOGICAL,< 2025-09-03,25/06/2024, $0.00 
03/11/2025,bt-con-market-dev-data,Test,TEST_SAF_CONVUNICACAMPAIGNHISTORY,BASE TABLE,2024-12-11 12:18:47.005000 UTC, 0.0000011207102943 , 0.00278397035 , 0.040255827184235100 ,LOGICAL,< 2025-09-03,11/12/2024, $0.00 
03/11/2025,bt-con-market-dev-data,cons_ccn_market_sales_channel_rw,plusnet_affiliate_window_resident,BASE TABLE,2023-03-21 04:53:32.469000 UTC, 0.0000010570729501 , 0.00278397035 , 0.037969978694353300 ,LOGICAL,< 2025-09-03,21/03/2023, $0.00 
03/11/2025,bt-con-market-dev-data,cons_ccn_market_sales_channel_stg,w_plusnet_affiliate_window_resident,BASE TABLE,2023-03-21 04:53:23.576000 UTC, 0.0000010558378563 , 0.00278397035 , 0.037925614220303600 ,LOGICAL,< 2025-09-03,21/03/2023, $0.00 
03/11/2025,bt-con-digital-dp-test-ops,audit_log_sink_data,cloudaudit_googleapis_com_activity_20231205,BASE TABLE,2023-12-05 23:30:57.776000 UTC, 0.0000010280627976 , 0.00007940587 , 1.294693781320840000 ,LOGICAL,< 2025-09-03,05/12/2023, $0.00 
03/11/2025,bt-con-digital-dp-test-ops,audit_log_sink_data,cloudaudit_googleapis_com_data_access_20240423,BASE TABLE,2024-04-23 20:50:02.762000 UTC, 0.0000010193507478 , 0.00007940587 , 1.283722236918650000 ,LOGICAL,< 2025-09-03,23/04/2024, $0.00 
03/11/2025,bt-con-digital-dp-test-ops,audit_log_sink_data,cloudaudit_googleapis_com_data_access_20250212,BASE TABLE,2025-02-12 10:53:31.805000 UTC, 0.0000009600389603 , 0.00007940587 , 1.209027770205570000 ,LOGICAL,< 2025-09-03,12/02/2025, $0.00 
03/11/2025,bt-con-ga360-an-ext-dev-ops,audit_log_sink_proc,cloudfunction_logger_20240603,BASE TABLE,2024-06-03 17:43:28.373000 UTC, 0.0000008308225006 , 0.00000300605 , 27.638378873423900000 ,LOGICAL,< 2025-09-03,03/06/2024, $0.00 
03/11/2025,bt-con-digital-dp-test-ops,audit_log_sink_data,cloudaudit_googleapis_com_activity_20240910,BASE TABLE,2024-09-10 15:49:54.953000 UTC, 0.0000007402622941 , 0.00007940587 , 0.932251406268168000 ,LOGICAL,< 2025-09-03,10/09/2024, $0.00 
03/11/2025,bt-con-ga360-an-ext-dev-ops,audit_log_sink_proc,cloudfunction_logger_20240502,BASE TABLE,2024-05-02 17:14:04.262000 UTC, 0.0000007332610039 , 0.00000300605 , 24.392870228365500000 ,LOGICAL,< 2025-09-03,02/05/2024, $0.00 
03/11/2025,bt-con-digital-dp-test-ops,audit_log_sink_data,cloudaudit_googleapis_com_activity_20250901,BASE TABLE,2025-09-01 15:49:10.111000 UTC, 0.0000007299440767 , 0.00007940587 , 0.919257130117958000 ,LOGICAL,< 2025-09-03,01/09/2025, $0.00 
03/11/2025,bt-con-digital-dp-test-ops,audit_log_sink_data,cloudaudit_googleapis_com_activity_20240221,BASE TABLE,2024-02-21 22:38:50.660000 UTC, 0.0000007144644769 , 0.00007940587 , 0.899762852455852000 ,LOGICAL,< 2025-09-03,21/02/2024, $0.00 
03/11/2025,bt-con-digital-dp-test-ops,audit_log_sink_data,cloudaudit_googleapis_com_data_access_20240626,BASE TABLE,2024-06-26 17:04:59.748000 UTC, 0.0000006739210221 , 0.00007940587 , 0.848704338377044000 ,LOGICAL,< 2025-09-03,26/06/2024, $0.00 
03/11/2025,bt-con-digital-dp-test-ops,audit_log_sink_data,cloudaudit_googleapis_com_activity_20240822,BASE TABLE,2024-08-22 23:37:26.279000 UTC, 0.0000006561176633 , 0.00007940587 , 0.826283628316192000 ,LOGICAL,< 2025-09-03,22/08/2024, $0.00 
03/11/2025,bt-con-digital-dp-test-ops,audit_log_sink_data,cloudaudit_googleapis_com_activity_20250827,BASE TABLE,2025-08-27 18:31:18.793000 UTC, 0.0000006443497114 , 0.00007940587 , 0.811463624869072000 ,LOGICAL,< 2025-09-03,27/08/2025, $0.00 
03/11/2025,bt-con-digital-dp-test-ops,audit_log_sink_data,cloudaudit_googleapis_com_activity_20240917,BASE TABLE,2024-09-17 16:10:29.849000 UTC, 0.0000005787478585 , 0.00007940587 , 0.728847746621854000 ,LOGICAL,< 2025-09-03,17/09/2024, $0.00 
03/11/2025,bt-con-digital-dp-test-ops,audit_log_sink_data,cloudaudit_googleapis_com_activity_20240902,BASE TABLE,2024-09-02 16:28:36.584000 UTC, 0.0000005482070264 , 0.00007940587 , 0.690386063666890000 ,LOGICAL,< 2025-09-03,02/09/2024, $0.00 
03/11/2025,bt-con-digital-dp-test-ops,audit_log_sink_data,cloudaudit_googleapis_com_data_access_20231103,BASE TABLE,2023-11-03 15:50:50.668000 UTC, 0.0000005004403647 , 0.00007940587 , 0.630230983595576000 ,LOGICAL,< 2025-09-03,03/11/2023, $0.00 
03/11/2025,bt-con-digital-dp-test-ops,audit_log_sink_data,cloudaudit_googleapis_com_activity_20240830,BASE TABLE,2024-08-30 17:45:10.914000 UTC, 0.0000004643534339 , 0.00007940587 , 0.584784805623954000 ,LOGICAL,< 2025-09-03,30/08/2024, $0.00 
03/11/2025,bt-con-digital-dp-test-ops,audit_log_sink_data,cloudaudit_googleapis_com_activity_20250715,BASE TABLE,2025-07-15 16:54:12.167000 UTC, 0.0000004526464181 , 0.00007940587 , 0.570041542282790000 ,LOGICAL,< 2025-09-03,15/07/2025, $0.00 
03/11/2025,bt-con-digital-dp-test-ops,audit_log_sink_data,cloudaudit_googleapis_com_activity_20250819,BASE TABLE,2025-08-19 16:30:57.964000 UTC, 0.0000004481462383 , 0.00007940587 , 0.564374228189247000 ,LOGICAL,< 2025-09-03,19/08/2025, $0.00 
03/11/2025,bt-con-digital-dp-test-ops,audit_log_sink_data,cloudaudit_googleapis_com_activity_20250611,BASE TABLE,2025-06-11 16:35:24.891000 UTC, 0.0000004450021152 , 0.00007940587 , 0.560414667796891000 ,LOGICAL,< 2025-09-03,11/06/2025, $0.00 
03/11/2025,bt-con-digital-dp-test-ops,audit_log_sink_data,cloudaudit_googleapis_com_activity_20240208,BASE TABLE,2024-02-08 17:45:38.389000 UTC, 0.0000004421681297 , 0.00007940587 , 0.556845680182607000 ,LOGICAL,< 2025-09-03,08/02/2024, $0.00 
03/11/2025,bt-con-ga360-an-ext-dev-ops,audit_log_sink_proc,inhouse_survey_logger_20240502,BASE TABLE,2024-05-02 11:33:41.525000 UTC, 0.0000004324219844 , 0.00000300605 , 14.385073383228700000 ,LOGICAL,< 2025-09-03,02/05/2024, $0.00 
03/11/2025,bt-con-digital-dp-test-ops,audit_log_sink_proc,cloudaudit_googleapis_com_data_access_20240425,BASE TABLE,2024-04-25 14:52:32.087000 UTC, 0.0000004302037269 , 0.00007940587 , 0.541778275796885000 ,LOGICAL,< 2025-09-03,25/04/2024, $0.00 
03/11/2025,bt-adobe-event-ext-dev-data,cons_ccn_adobe_events_rw,ee_webvisits,BASE TABLE,2024-09-23 09:11:40.735000 UTC, 0.0000004291596269 , 0.01285425669 , 0.003338657670127940 ,LOGICAL,< 2025-09-03,23/09/2024, $0.00 
03/11/2025,bt-adobe-event-ext-dev-data,cons_ccn_adobe_events_rw,ee_webvisits_0409,BASE TABLE,2024-09-05 12:37:15.744000 UTC, 0.0000004283256203 , 0.01285425669 , 0.003332169495342070 ,LOGICAL,< 2025-09-03,05/09/2024, $0.00 
03/11/2025,bt-adobe-event-ext-dev-data,cons_ccn_adobe_events_rw,ee_webvisits_0409_new,BASE TABLE,2024-09-04 07:47:47.966000 UTC, 0.0000004261419235 , 0.01285425669 , 0.003315181373574500 ,LOGICAL,< 2025-09-03,04/09/2024, $0.00 
03/11/2025,bt-con-ga360-an-ext-dev-ops,audit_log_sink_proc,cloudfunction_logger_20240912,BASE TABLE,2024-09-12 08:51:49.536000 UTC, 0.0000004133444236 , 0.00000300605 , 13.750433788386300000 ,LOGICAL,< 2025-09-03,12/09/2024, $0.00 
03/11/2025,bt-con-digital-dp-test-ops,audit_log_sink_data,cloudaudit_googleapis_com_activity_20241114,BASE TABLE,2024-11-14 16:30:35.903000 UTC, 0.0000004005623850 , 0.00007940587 , 0.504449368435800000 ,LOGICAL,< 2025-09-03,14/11/2024, $0.00 
03/11/2025,bt-con-ga360-an-ext-dev-ops,audit_log_sink_proc,cloudfunction_logger_20240508,BASE TABLE,2024-05-08 14:40:50.810000 UTC, 0.0000003969980753 , 0.00000300605 , 13.206651492519400000 ,LOGICAL,< 2025-09-03,08/05/2024, $0.00 
03/11/2025,bt-con-digital-dp-test-ops,audit_log_sink_data,cloudaudit_googleapis_com_data_access_20231208,BASE TABLE,2023-12-08 22:17:03.204000 UTC, 0.0000003951927283 , 0.00007940587 , 0.497687076113998000 ,LOGICAL,< 2025-09-03,08/12/2023, $0.00 
03/11/2025,bt-con-digital-dp-test-ops,audit_log_sink_data,cloudaudit_googleapis_com_activity_20250430,BASE TABLE,2025-04-30 13:45:52.705000 UTC, 0.0000003843315426 , 0.00007940587 , 0.484009011258483000 ,LOGICAL,< 2025-09-03,30/04/2025, $0.00 
03/11/2025,bt-con-digital-dp-test-ops,audit_log_sink_data,cloudaudit_googleapis_com_activity_20250319,BASE TABLE,2025-03-19 21:12:58.811000 UTC, 0.0000003837503755 , 0.00007940587 , 0.483277116815117000 ,LOGICAL,< 2025-09-03,19/03/2025, $0.00 
03/11/2025,bt-con-digital-dp-test-ops,audit_log_sink_data,cloudaudit_googleapis_com_activity_20240904,BASE TABLE,2024-09-04 13:50:35.018000 UTC, 0.0000003659042704 , 0.00007940587 , 0.460802574142625000 ,LOGICAL,< 2025-09-03,04/09/2024, $0.00 
03/11/2025,bt-con-digital-dp-test-ops,audit_log_sink_data,cloudaudit_googleapis_com_activity_20250415,BASE TABLE,2025-04-15 15:36:08.929000 UTC, 0.0000003423701855 , 0.00007940587 , 0.431164857997817000 ,LOGICAL,< 2025-09-03,15/04/2025, $0.00 
03/11/2025,bt-con-digital-dp-test-ops,audit_log_sink_data,cloudaudit_googleapis_com_activity_20241017,BASE TABLE,2024-10-17 16:04:03.946000 UTC, 0.0000003339009709 , 0.00007940587 , 0.420499128644731000 ,LOGICAL,< 2025-09-03,17/10/2024, $0.00 
03/11/2025,bt-con-digital-dp-test-ops,audit_log_sink_data,cloudaudit_googleapis_com_data_access_20231218,BASE TABLE,2023-12-18 13:07:26.320000 UTC, 0.0000003213854143 , 0.00007940587 , 0.404737627181263000 ,LOGICAL,< 2025-09-03,18/12/2023, $0.00 
03/11/2025,bt-con-digital-dp-test-ops,audit_log_sink_data,cloudaudit_googleapis_com_activity_20240602,BASE TABLE,2024-06-02 14:23:39.923000 UTC, 0.0000003079921953 , 0.00007940587 , 0.387870839117093000 ,LOGICAL,< 2025-09-03,02/06/2024, $0.00 
03/11/2025,bt-con-digital-dp-test-ops,audit_log_sink_data,cloudaudit_googleapis_com_data_access_20250213,BASE TABLE,2025-02-13 23:57:21.491000 UTC, 0.0000002956521712 , 0.00007940587 , 0.372330394973765000 ,LOGICAL,< 2025-09-03,13/02/2025, $0.00 
03/11/2025,bt-con-digital-dp-test-ops,audit_log_sink_data,cloudaudit_googleapis_com_activity_20240813,BASE TABLE,2024-08-13 18:49:27.393000 UTC, 0.0000002857850632 , 0.00007940587 , 0.359904224682568000 ,LOGICAL,< 2025-09-03,13/08/2024, $0.00 
03/11/2025,bt-con-digital-dp-test-ops,audit_log_sink_data,cloudaudit_googleapis_com_activity_20240823,BASE TABLE,2024-08-23 14:42:03.915000 UTC, 0.0000002831357051 , 0.00007940587 , 0.356567748135581000 ,LOGICAL,< 2025-09-03,23/08/2024, $0.00 
03/11/2025,bt-con-digital-dp-test-ops,audit_log_sink_data,cloudaudit_googleapis_com_activity_20250324,BASE TABLE,2025-03-24 23:07:46.894000 UTC, 0.0000002830111043 , 0.00007940587 , 0.356410831799523000 ,LOGICAL,< 2025-09-03,24/03/2025, $0.00 
03/11/2025,bt-con-digital-dp-test-ops,audit_log_sink_data,cloudaudit_googleapis_com_activity_20240807,BASE TABLE,2024-08-07 12:17:20.378000 UTC, 0.0000002689248504 , 0.00007940587 , 0.338671268201951000 ,LOGICAL,< 2025-09-03,07/08/2024, $0.00 
03/11/2025,bt-con-digital-dp-test-ops,audit_log_sink_data,cloudaudit_googleapis_com_activity_20240916,BASE TABLE,2024-09-16 16:37:15.632000 UTC, 0.0000002677797966 , 0.00007940587 , 0.337229241434819000 ,LOGICAL,< 2025-09-03,16/09/2024, $0.00 
03/11/2025,bt-con-digital-dp-test-ops,audit_log_sink_data,cloudaudit_googleapis_com_activity_20250902,BASE TABLE,2025-09-02 13:43:36.338000 UTC, 0.0000002642336767 , 0.00007940587 , 0.332763425418100000 ,LOGICAL,< 2025-09-03,02/09/2025, $0.00 
03/11/2025,bt-con-digital-dp-test-ops,audit_log_sink_data,cloudaudit_googleapis_com_activity_20240731,BASE TABLE,2024-07-31 15:54:29.500000 UTC, 0.0000002608030627 , 0.00007940587 , 0.328443071990282000 ,LOGICAL,< 2025-09-03,31/07/2024, $0.00 
03/11/2025,bt-con-digital-dp-test-ops,audit_log_sink_data,cloudaudit_googleapis_com_activity_20250828,BASE TABLE,2025-08-28 10:31:22.184000 UTC, 0.0000002574188329 , 0.00007940587 , 0.324181132672968000 ,LOGICAL,< 2025-09-03,28/08/2025, $0.00 
03/11/2025,bt-con-digital-dp-test-ops,audit_log_sink_data,cloudaudit_googleapis_com_activity_20240307,BASE TABLE,2024-03-07 18:02:45.712000 UTC, 0.0000002544393283 , 0.00007940587 , 0.320428885104163000 ,LOGICAL,< 2025-09-03,07/03/2024, $0.00 
