snapshot date,project id,dataset name,table name,table type,storage last modified time,total logical tb,project logical tb,percentage of project logical tb,billing model,last queried,table creation date,statement type,user email,user type
20/10/2025,bt-con-digital-dp-test-ops,audit_log_sink_proc,cloudaudit_googleapis_com_data_access_20231016,BASE TABLE,2023-10-16 03:01:14.315000 UTC, 0.0000000 , 0.000076 ,0.46%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-digital-dp-test-ops,audit_log_sink_proc,operations_20231016,BASE TABLE,2023-10-16 03:01:17.813000 UTC, 0.0000000 , 0.000076 ,0.13%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-digital-dp-ops,audit_log_sink_proc,operations_20231016,BASE TABLE,2023-10-16 04:01:12.553000 UTC, 0.0000000 , 0.010443 ,0.01%,LOGICAL,08/09/2025,,,,
20/10/2025,bt-con-digital-dp-ops,audit_log_sink_proc,cloudaudit_googleapis_com_data_access_20231016,BASE TABLE,2023-10-16 04:01:12.610000 UTC, 0.0000001 , 0.010443 ,0.09%,LOGICAL,08/09/2025,,,,
20/10/2025,bt-con-digital-dp-ops,audit_log_sink_data,cloudaudit_googleapis_com_data_access_20231016,BASE TABLE,2023-10-16 14:11:42.630000 UTC, 0.0000004 , 0.010443 ,0.35%,LOGICAL,08/09/2025,,,,
20/10/2025,bt-con-digital-dp-prep-ops,audit_log_sink_data,cloudaudit_googleapis_com_activity_20231016,BASE TABLE,2023-10-16 14:35:00.012000 UTC, 0.0000000 , 0.003553 ,0.09%,LOGICAL,08/09/2025,,,,
20/10/2025,bt-con-digital-dp-prep-ops,audit_log_sink_proc,cloudaudit_googleapis_com_data_access_20231016,BASE TABLE,2023-10-16 16:23:44.193000 UTC, 0.0000002 , 0.003553 ,0.64%,LOGICAL,08/09/2025,,,,
20/10/2025,bt-con-digital-dp-prep-ops,audit_log_sink_proc,operations_20231016,BASE TABLE,2023-10-16 16:24:30.164000 UTC, 0.0000000 , 0.003553 ,0.01%,LOGICAL,08/09/2025,,,,
20/10/2025,bt-con-digital-dp-prep-ops,audit_log_sink_data,cloudaudit_googleapis_com_data_access_20231016,BASE TABLE,2023-10-16 19:06:24.053000 UTC, 0.0000009 , 0.003553 ,2.58%,LOGICAL,08/09/2025,,,,
20/10/2025,bt-con-digital-dp-dev-ops,audit_log_sink_data,cloudaudit_googleapis_com_data_access_20231016,BASE TABLE,2023-10-17 00:03:29.067000 UTC, 0.0000005 , 0.000901 ,5.43%,LOGICAL,< 2025-08-20,,,,
